timestep,biomass,hard coal,hydro,lignite,gas,uran,oil,waste,sun,wind
1,8102.029269999998,9455.380233366086,4200.577140000002,19578.383244347388,215.7673182667974,0.0,0.0,4258.466999999997,0.0,4750.737397184315
2,8102.029269999998,8945.72709672873,4200.577140000002,19124.273716903805,446.27109471060356,0.0,0.0,4258.466999999997,0.0,4860.871222361802
3,8102.029269999998,9064.113202614977,4200.577140000002,19007.32681149165,625.4275641279542,0.0,0.0,4258.466999999997,0.0,5052.568818188012
4,8102.029269999998,9900.98210935954,4200.577140000002,19283.22197345557,909.2311732494909,0.0,0.0,4258.466999999997,0.0,4924.106684659348
5,8102.029269999998,12361.617773362037,4200.577140000002,19964.045527591657,1655.8,0.0,0.0,4258.466999999997,0.0,4601.768534553363
6,8102.029269999998,16943.222126411267,4200.577140000002,20128.300000000003,3753.598521262236,0.0,0.0,4258.466999999997,0.0,4328.286157355979
7,8102.029269999998,20340.584987565653,4200.577140000002,20128.300000000003,7276.042172537579,0.0,80.0,4213.3669999999975,0.0,4284.337640324162
8,8101.669069999998,21082.47868765803,4200.577140000002,20128.300000000003,9563.521563765391,0.0,80.0,4159.666999999998,95.59441911123963,4117.061593657591
9,8101.669069999998,21054.685325250615,4200.577140000002,20128.300000000003,9431.047244618852,0.0,80.0,4159.666999999998,995.3958561424325,3741.950738154093
10,8101.669069999998,20752.206418401718,4200.577140000002,20128.300000000003,9060.213162578084,0.0,80.0,4159.666999999998,2732.7864891959157,3170.016132656695
11,8102.029269999998,20629.620920292396,4200.577140000002,20128.300000000003,8388.302494426216,0.0,80.0,4161.490305181427,4476.246609177103,2621.306529229492
12,8102.029269999998,20387.94800704498,4200.577140000002,20128.300000000003,7526.816139286878,0.0,80.0,4170.905657117174,5688.626622984735,2075.217367998297
13,8102.029269999998,20359.9906305828,4200.577140000002,20128.300000000003,6929.094107565273,0.0,80.0,4213.3669999999975,5829.742194053696,2059.836793063689
14,8102.029269999998,20572.288293174264,4200.577140000002,20128.300000000003,6393.674000281328,0.0,80.0,4213.3669999999975,4400.378022580886,2305.730989393971
15,8102.029269999998,20852.54216788541,4200.577140000002,20128.300000000003,7790.8464437866105,0.0,80.0,4159.666999999998,2136.4593985496126,2451.858399106474
16,8101.669069999998,20894.905399677555,4200.577140000002,20128.300000000003,8860.08289003096,0.0,80.0,4159.666999999998,345.9607548787725,2914.086413850376
17,8100.633169999998,21086.48876649719,4200.577140000002,20128.300000000003,11353.151867198461,0.0,80.0,4159.666999999998,4.552115195773325,3795.4758567646004
18,8100.633169999998,21063.49570264046,4200.577140000002,20128.300000000003,11028.599999999999,0.0,80.0,4159.666999999998,0.0,4728.007886268218
19,8101.669069999998,20933.7046240087,4200.577140000002,20128.300000000003,9306.651154620264,0.0,80.0,4159.666999999998,0.0,4893.966318326332
20,8102.029269999998,20712.8492184969,4200.577140000002,20128.300000000003,5580.1878318936,0.0,80.0,4213.3669999999975,0.0,4606.637766662136
21,8102.029269999998,20250.92027682217,4200.577140000002,20128.300000000003,4472.877712013438,0.0,80.0,4258.466999999997,0.0,4287.466248263606
22,8102.029269999998,19115.967360838535,4200.577140000002,20128.300000000003,3709.7253621498667,0.0,0.0,4258.466999999997,0.0,4158.464262518162
23,8102.029269999998,16952.223190982855,4200.577140000002,20203.6,2383.4,0.0,0.0,4258.466999999997,0.0,4343.180349783013
24,8102.029269999998,14852.928883287443,4200.577140000002,20203.6,1731.9393492141978,0.0,0.0,4258.466999999997,0.0,4373.820432133224
25,8102.029269999998,13204.497543173982,4200.577140000002,20136.6,1503.396255849884,0.0,0.0,4258.466999999997,0.0,4516.341301124935
26,8102.029269999998,12314.814127821382,4200.577140000002,20136.6,1329.7696746133865,0.0,0.0,4258.466999999997,0.0,4454.954855926394
27,8102.029269999998,12470.889906779465,4200.577140000002,20136.6,1480.1818316150675,0.0,0.0,4258.466999999997,0.0,4101.982960764861
28,8102.029269999998,13680.414868273285,4200.577140000002,20027.679861739372,1803.0,0.0,0.0,4258.466999999997,0.0,3564.9432234849187
29,8102.029269999998,15267.235118991388,4200.577140000002,20203.6,2383.4,0.0,0.0,4258.466999999997,0.0,3491.77851920945
30,8102.029269999998,18418.171272711024,4200.577140000002,20128.300000000003,5445.7972752049545,0.0,0.0,4258.466999999997,0.0,3479.6708564804067
31,8102.029269999998,20844.555113462386,4200.577140000002,20128.300000000003,9879.5844619333,0.0,80.0,4159.666999999998,0.0,3326.2473215753243
32,8101.669069999998,21082.85281558374,4200.577140000002,20128.300000000003,11499.142185879875,0.0,80.0,4159.666999999998,177.53249263515957,3247.8459577709496
33,8101.669069999998,21082.364302564834,4200.577140000002,20128.300000000003,10304.262895834803,0.0,80.0,4159.666999999998,1717.6648005384682,3080.467855469382
34,8101.669069999998,21017.653154438398,4200.577140000002,20128.300000000003,8684.55646852565,0.0,80.0,4159.666999999998,4227.397645141487,2598.7213225795194
35,8102.029269999998,20656.56313290848,4200.577140000002,20128.300000000003,7519.594787489936,0.0,80.0,4159.666999999998,6233.363074745602,2489.2568668640424
36,8102.029269999998,20405.500855320417,4200.577140000002,20128.300000000003,6002.873674257509,0.0,80.0,4213.3669999999975,7518.5769316856085,2554.0394042187145
37,8102.029269999998,20477.18340249414,4200.577140000002,20128.300000000003,5883.4641554291,0.0,80.0,4213.3669999999975,7019.361631882462,2662.2242690937524
38,8102.029269999998,20644.63686134513,4200.577140000002,20128.300000000003,6119.2,0.0,80.0,4213.3669999999975,5068.021584627639,3058.936345154003
39,8102.029269999998,20876.992787096216,4200.577140000002,20128.300000000003,7553.696078127932,0.0,80.0,4159.666999999998,2411.1036820279405,3571.454590070868
40,8102.029269999998,21082.250806234915,4200.577140000002,20128.300000000003,8477.826816355097,0.0,80.0,4178.666516941718,383.89504817688334,4128.459091804772
